Sr No	Gene ID	Specie	Gene name	Gene Description
S000002389	YDL230W	S. cerevisiae	PTP1	Protein Tyrosine Phosphatase
S000002390	YDL231C	S. cerevisiae	BRE4	BREfeldin A sensitivity
S000002392	YDL233W	S. cerevisiae	MFG1	Morphogenetic regulator of Filamentous Growth
S000002393	YDL234C	S. cerevisiae	GYP7	Gtpase-activating protein for Ypt7 Protein
S000002394	YDL235C	S. cerevisiae	YPD1	tYrosine Phosphatase Dependent
S000002395	YDL236W	S. cerevisiae	PHO13	PHOsphate metabolism
S000002396	YDL237W	S. cerevisiae	AIM6	Altered Inheritance rate of Mitochondria
S000002397	YDL238C	S. cerevisiae	GUD1	GUanine Deaminase
S000002399	YDL240W	S. cerevisiae	LRG1	Lim-RhoGap homolog
S000002402	YDL243C	S. cerevisiae	AAD4	Aryl-Alcohol Dehydrogenase
S000002404	YDL245C	S. cerevisiae	HXT15	HeXose Transporter
S000002405	YDL246C	S. cerevisiae	SOR2	
S000002406	YDL247W	S. cerevisiae	MPH2	Maltose Permease Homolog
S000002408	YDR001C	S. cerevisiae	NTH1	Neutral TreHalase
S000002409	YDR002W	S. cerevisiae	YRB1	Yeast Ran Binder
S000002410	YDR003W	S. cerevisiae	RCR2	Resistance to Congo Red
S000002411	YDR004W	S. cerevisiae	RAD57	RADiation sensitive
S000002412	YDR005C	S. cerevisiae	MAF1	
S000002413	YDR006C	S. cerevisiae	SOK1	Suppressor Of Kinase
S000002414	YDR007W	S. cerevisiae	TRP1	TRyPtophan
S000002416	YDR009W	S. cerevisiae	GAL3	GALactose metabolism
S000002418	YDR011W	S. cerevisiae	SNQ2	Sensitivity to 4-NitroQuinoline-N-oxide
S000002419	YDR012W	S. cerevisiae	RPL4B	Ribosomal Protein of the Large subunit
S000002420	YDR013W	S. cerevisiae	PSF1	Partner of Sld Five
S000002423	YDR016C	S. cerevisiae	DAD1	Duo1 And Dam1 interacting
S000002424	YDR017C	S. cerevisiae	KCS1	pKC1 Suppressor
S000002425	YDR018C	S. cerevisiae		
S000002426	YDR019C	S. cerevisiae	GCV1	GlyCine cleaVage
S000002427	YDR020C	S. cerevisiae	DAS2	Dst1-delta 6-Azauracil Sensitivity
S000002428	YDR021W	S. cerevisiae	FAL1	eukaryotic translation initiation factor Four A Like
S000002430	YDR023W	S. cerevisiae	SES1	SEryl-tRNA Synthetase
S000002432	YDR025W	S. cerevisiae	RPS11A	Ribosomal Protein of the Small subunit
S000002433	YDR026C	S. cerevisiae	NSI1	NTS1 SIlencing protein 1
S000002434	YDR027C	S. cerevisiae	VPS54	Vacuolar Protein Sorting
S000002435	YDR028C	S. cerevisiae	REG1	REsistance to Glucose repression
S000002437	YDR030C	S. cerevisiae	RAD28	RADiation sensitive
S000002438	YDR031W	S. cerevisiae	MIX14	Mitochondrial Intermembrane space CX(n)C motif protein
S000002439	YDR032C	S. cerevisiae	PST2	Protoplasts-SecreTed
S000002442	YDR035W	S. cerevisiae	ARO3	AROmatic amino acid requiring
S000002443	YDR036C	S. cerevisiae	EHD3	
S000002444	YDR037W	S. cerevisiae	KRS1	Lysyl (K) tRNA Synthetase
S000002445	YDR038C	S. cerevisiae	ENA5	"Exitus NAtru (Latin, ""exit sodium"")"
S000002446	YDR039C	S. cerevisiae	ENA2	"Exitus NAtru (Latin, ""exit sodium"")"
S000002447	YDR040C	S. cerevisiae	ENA1	"Exitus NAtru (Latin, ""exit sodium"")"
S000002448	YDR041W	S. cerevisiae	RSM10	Ribosomal Small subunit of Mitochondria
S000002450	YDR043C	S. cerevisiae	NRG1	Negative Regulator of Glucose-repressed genes
S000002451	YDR044W	S. cerevisiae	HEM13	HEMe biosynthesis
S000002452	YDR045C	S. cerevisiae	RPC11	RNA Polymerase C
S000002453	YDR046C	S. cerevisiae	BAP3	Branched-chain Amino acid Permease
S000002454	YDR047W	S. cerevisiae	HEM12	HEMe biosynthesis
S000002456	YDR049W	S. cerevisiae	VMS1	VCP/Cdc48-associated Mitochondrial Stress-responsive
S000002457	YDR050C	S. cerevisiae	TPI1	Triose-Phosphate Isomerase
S000002458	YDR051C	S. cerevisiae	DET1	Decreased Ergosterol Transport
S000002461	YDR054C	S. cerevisiae	CDC34	Cell Division Cycle
S000002462	YDR055W	S. cerevisiae	PST1	Protoplasts-SecreTed
S000002464	YDR057W	S. cerevisiae	YOS9	Yeast OS-9 homolog
S000002465	YDR058C	S. cerevisiae	TGL2	TriacylGlycerol Lipase
S000002466	YDR059C	S. cerevisiae	UBC5	UBiquitin-Conjugating
S000002467	YDR060W	S. cerevisiae	MAK21	MAintenance of Killer
S000002468	YDR061W	S. cerevisiae		
S000002469	YDR062W	S. cerevisiae	LCB2	Long-Chain Base
S000002470	YDR063W	S. cerevisiae	AIM7	Altered Inheritance rate of Mitochondria
S000002471	YDR064W	S. cerevisiae	RPS13	Ribosomal Protein of the Small subunit
S000002473	YDR066C	S. cerevisiae	RTR2	Regulator of TRanscription
S000002474	YDR067C	S. cerevisiae	OCA6	Oxidant-induced Cell-cycle Arrest
S000002475	YDR068W	S. cerevisiae	DOS2	
S000002476	YDR069C	S. cerevisiae	DOA4	Degradation Of Alpha
S000002478	YDR071C	S. cerevisiae	PAA1	PolyAmine Acetyltransferase
S000002481	YDR074W	S. cerevisiae	TPS2	Trehalose-6-Phosphate Synthase/phosphatase
S000002482	YDR075W	S. cerevisiae	PPH3	Protein PHosphatase
S000002486	YDR079W	S. cerevisiae	PET100	PETite colonies
S000002487	YDR080W	S. cerevisiae	VPS41	Vacuolar Protein Sorting
S000002490	YDR083W	S. cerevisiae	RRP8	Ribosomal RNA Processing
S000002491	YDR084C	S. cerevisiae	TVP23	Tlg2-Vesicle Protein
S000002493	YDR086C	S. cerevisiae	SSS1	Sec Sixty-one Suppressor
S000002494	YDR087C	S. cerevisiae	RRP1	Ribosomal RNA Processing
S000002495	YDR088C	S. cerevisiae	SLU7	Synergistic Lethal with U5 snRNA
S000002496	YDR089W	S. cerevisiae	VTC5	Vacuole Transporter Chaperone
S000002497	YDR090C	S. cerevisiae	ILT1	Ionic Liquid Tolerance
S000002498	YDR091C	S. cerevisiae	RLI1	RNase L Inhibitor
S000002499	YDR092W	S. cerevisiae	UBC13	UBiquitin-Conjugating
S000002500	YDR093W	S. cerevisiae	DNF2	Drs2 Neo1 Family
S000002503	YDR096W	S. cerevisiae	GIS1	GIg1-2 Suppressor
S000002504	YDR097C	S. cerevisiae	MSH6	MutS Homolog
S000002505	YDR098C	S. cerevisiae	GRX3	GlutaRedoXin
S000002506	YDR099W	S. cerevisiae	BMH2	Brain Modulosignalin Homolog
S000002507	YDR100W	S. cerevisiae	TVP15	Tlg2-Vesicle Protein
S000002508	YDR101C	S. cerevisiae	ARX1	Associated with Ribosomal eXport complex
S000002511	YDR104C	S. cerevisiae	SPO71	SPOrulation
S000002512	YDR105C	S. cerevisiae	TMS1	
S000002514	YDR107C	S. cerevisiae	TMN2	TransMembrane Nine
S000002515	YDR108W	S. cerevisiae	TRS85	TRapp Subunit
S000002516	YDR109C	S. cerevisiae		
S000002518	YDR111C	S. cerevisiae	ALT2	ALanine Transaminase
S000002522	YDR115W	S. cerevisiae	MRX14	Mitochondrial oRganization of gene eXpression (MIOREX)
S000002523	YDR116C	S. cerevisiae	MRPL1	Mitochondrial Ribosomal Protein, Large subunit
S000002524	YDR117C	S. cerevisiae	TMA64	Translation Machinery Associated
S000002526	YDR119W	S. cerevisiae	VBA4	Vacuolar Basic Amino acid transporter
S000002527	YDR120C	S. cerevisiae	TRM1	tRNA Methyltransferase
S000002528	YDR121W	S. cerevisiae	DPB4	DNA Polymerase B (II) subunit
S000002529	YDR122W	S. cerevisiae	KIN1	KINase
S000002531	YDR124W	S. cerevisiae		
S000002532	YDR125C	S. cerevisiae	ECM18	ExtraCellular Mutant
S000002533	YDR126W	S. cerevisiae	SWF1	Spore Wall Formation
S000002534	YDR127W	S. cerevisiae	ARO1	AROmatic amino acid requiring
S000002535	YDR128W	S. cerevisiae	MTC5	Maintenance of Telomere Capping
S000002536	YDR129C	S. cerevisiae	SAC6	Suppressor of ACtin
S000002539	YDR132C	S. cerevisiae	MRX16	Mitochondrial oRganization of gene eXpression (MIOREX)
S000002542	YDR135C	S. cerevisiae	YCF1	Yeast Cadmium Factor
S000002544	YDR137W	S. cerevisiae	RGP1	Reduced Growth Phenotype
S000002546	YDR139C	S. cerevisiae	RUB1	Related to UBiquitin
S000002547	YDR140W	S. cerevisiae	MTQ2	Methyltransferase
S000002548	YDR141C	S. cerevisiae	DOP1	homolog of A. nidulans DOPey
S000002549	YDR142C	S. cerevisiae	PEX7	PEroXin
S000002551	YDR144C	S. cerevisiae	MKC7	Multicopy suppressor of Kex2 Cold sensitivity
S000002552	YDR145W	S. cerevisiae	TAF12	TATA binding protein-Associated Factor
S000002554	YDR147W	S. cerevisiae	EKI1	Ethanolamine KInase
S000002555	YDR148C	S. cerevisiae	KGD2	alpha-KetoGlutarate Dehydrogenase
S000002557	YDR150W	S. cerevisiae	NUM1	NUclear Migration
S000002559	YDR152W	S. cerevisiae	GIR2	Genetically Interacts with Ribosomal genes
S000002560	YDR153C	S. cerevisiae	ENT5	Epsin N-Terminal homology
S000002562	YDR155C	S. cerevisiae	CPR1	Cyclosporin A-sensitive Proline Rotamase
S000002565	YDR158W	S. cerevisiae	HOM2	HOMoserine requiring
S000002566	YDR159W	S. cerevisiae	SAC3	Suppressor of ACtin
S000002567	YDR160W	S. cerevisiae	SSY1	Sulfonylurea Sensitive on YPD
S000002568	YDR161W	S. cerevisiae	ACL4	Assembly Chaperone of RpL4
S000002569	YDR162C	S. cerevisiae	NBP2	Nap1 Binding Protein
S000002571	YDR164C	S. cerevisiae	SEC1	SECretory
S000002572	YDR165W	S. cerevisiae	TRM82	Transfer RNA Methyltransferase
S000002573	YDR166C	S. cerevisiae	SEC5	SECretory
S000002574	YDR167W	S. cerevisiae	TAF10	TATA binding protein-Associated Factor
S000002575	YDR168W	S. cerevisiae	CDC37	Cell Division Cycle
S000002577	YDR170C	S. cerevisiae	SEC7	SECretory
S000002578	YDR171W	S. cerevisiae	HSP42	Heat Shock Protein
S000002579	YDR172W	S. cerevisiae	SUP35	SUPpressor
S000002580	YDR173C	S. cerevisiae	ARG82	ARGinine requiring
S000002581	YDR174W	S. cerevisiae	HMO1	High MObility group (HMG) family
S000002582	YDR175C	S. cerevisiae	RSM24	Ribosomal Small subunit of Mitochondria
S000002583	YDR176W	S. cerevisiae	NGG1	
S000002584	YDR177W	S. cerevisiae	UBC1	UBiquitin-Conjugating
S000002585	YDR178W	S. cerevisiae	SDH4	Succinate DeHydrogenase
S000002587	YDR179W-A	S. cerevisiae	NVJ3	Nucleus-Vacuole Junction
S000002588	YDR180W	S. cerevisiae	SCC2	Sister Chromatid Cohesion
S000002590	YDR182W	S. cerevisiae	CDC1	Cell Division Cycle
S000002591	YDR183W	S. cerevisiae	PLP1	Phosducin-Like Protein
S000002593	YDR185C	S. cerevisiae	UPS3	UnProceSsed
S000002596	YDR188W	S. cerevisiae	CCT6	Chaperonin Containing TCP-1
S000002597	YDR189W	S. cerevisiae	SLY1	Suppressor of Loss of Ypt1
S000002598	YDR190C	S. cerevisiae	RVB1	RuVB-like
S000002599	YDR191W	S. cerevisiae	HST4	Homolog of SIR Two (SIR2)
S000002602	YDR194C	S. cerevisiae	MSS116	Mitochondrial Splicing System
S000002604	YDR196C	S. cerevisiae	CAB5	
S000002605	YDR197W	S. cerevisiae	CBS2	Cytochrome B Synthesis
S000002606	YDR198C	S. cerevisiae	RKM2	Ribosomal protein lysine (K) Methyltransferase
S000002608	YDR200C	S. cerevisiae	VPS64	Vacuolar Protein Sorting
S000002612	YDR204W	S. cerevisiae	COQ4	COenzyme Q
S000002613	YDR205W	S. cerevisiae	MSC2	Meiotic Sister-Chromatid recombination
S000002616	YDR208W	S. cerevisiae	MSS4	Multicopy Suppressor of Stt4 mutation
S000002619	YDR211W	S. cerevisiae	GCD6	General Control Derepressed
S000002620	YDR212W	S. cerevisiae	TCP1	Tailless Complex Polypeptide
S000002621	YDR213W	S. cerevisiae	UPC2	UPtake Control
S000002622	YDR214W	S. cerevisiae	AHA1	Activator of Heat shock protein 90 ATPase
S000002626	YDR218C	S. cerevisiae	SPR28	SPorulation Regulated
S000002630	YDR222W	S. cerevisiae		
S000002632	YDR224C	S. cerevisiae	HTB1	Histone h Two B
S000002633	YDR225W	S. cerevisiae	HTA1	Histone h Two A
S000002634	YDR226W	S. cerevisiae	ADK1	ADenylate Kinase
S000002636	YDR228C	S. cerevisiae	PCF11	Protein 1 of Cleavage and polyadenylation Factor I
S000002637	YDR229W	S. cerevisiae	IVY1	Interacting with Vps33p and Ypt7p
S000002639	YDR231C	S. cerevisiae	COX20	Cytochrome c OXidase
S000002640	YDR232W	S. cerevisiae	HEM1	HEMe biosynthesis
S000002641	YDR233C	S. cerevisiae	RTN1	ReTiculoN-like
S000002642	YDR234W	S. cerevisiae	LYS4	LYSine requiring
S000002643	YDR235W	S. cerevisiae	PRP42	Pre-mRNA Processing
S000002644	YDR236C	S. cerevisiae	FMN1	FMN biosynthesis
S000002645	YDR237W	S. cerevisiae	MRPL7	Mitochondrial Ribosomal Protein, Large subunit
S000002646	YDR238C	S. cerevisiae	SEC26	SECretory
S000002650	YDR242W	S. cerevisiae	AMD2	AMiDase
S000002651	YDR243C	S. cerevisiae	PRP28	Pre-mRNA Processing
S000002652	YDR244W	S. cerevisiae	PEX5	PEroXin
S000002653	YDR245W	S. cerevisiae	MNN10	MaNNosyltransferase
S000002654	YDR246W	S. cerevisiae	TRS23	TRapp Subunit
S000002655	YDR247W	S. cerevisiae	VHS1	Viable in a Hal3 Sit4 background
S000002656	YDR248C	S. cerevisiae		
S000002659	YDR251W	S. cerevisiae	PAM1	Pp2A Multicopy suppressor
S000002660	YDR252W	S. cerevisiae	BTT1	BTf Three
S000002661	YDR253C	S. cerevisiae	MET32	METhionine requiring
S000002662	YDR254W	S. cerevisiae	CHL4	CHromosome Loss
S000002663	YDR255C	S. cerevisiae	RMD5	Required for Meiotic nuclear Division
S000002664	YDR256C	S. cerevisiae	CTA1	CaTalase A
S000002665	YDR257C	S. cerevisiae	RKM4	Ribosomal lysine (K) Methyltransferase
S000002666	YDR258C	S. cerevisiae	HSP78	Heat Shock Protein
S000002667	YDR259C	S. cerevisiae	YAP6	Yeast homolog of AP-1
S000002669	YDR261C	S. cerevisiae	EXG2	EXo-1,3-beta-Glucanase
S000002670	YDR262W	S. cerevisiae		
S000002671	YDR263C	S. cerevisiae	DIN7	DNA Damage INducible
S000002672	YDR264C	S. cerevisiae	AKR1	AnKyrin Repeat containing
S000002673	YDR265W	S. cerevisiae	PEX10	PEroXin
S000002674	YDR266C	S. cerevisiae	HEL2	Histone E3 Ligase
S000002675	YDR267C	S. cerevisiae	CIA1	Cytosolic Iron-sulfur protein Assembly
S000002676	YDR268W	S. cerevisiae	MSW1	Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)
S000002678	YDR270W	S. cerevisiae	CCC2	Cross-Complements Ca(2+) phenotype of csg1
S000002680	YDR272W	S. cerevisiae	GLO2	GLyOxalase
S000002684	YDR276C	S. cerevisiae	PMP3	Plasma Membrane Proteolipid
S000002685	YDR277C	S. cerevisiae	MTH1	MSN Three Homolog
S000002688	YDR280W	S. cerevisiae	RRP45	Ribosomal RNA Processing
S000002690	YDR282C	S. cerevisiae	MRX10	Mitochondrial oRganization of gene eXpression (MIOREX)
S000002691	YDR283C	S. cerevisiae	GCN2	General Control Nonderepressible
S000002692	YDR284C	S. cerevisiae	DPP1	Diacylglycerol Pyrophosphate Phosphatase
S000002695	YDR287W	S. cerevisiae	INM2	INositol Monophosphatase
S000002697	YDR289C	S. cerevisiae	RTT103	Regulator of Ty1 Transposition
S000002699	YDR291W	S. cerevisiae	HRQ1	Homologous to RecQ protein
S000002700	YDR292C	S. cerevisiae	SRP101	Signal Recognition Particle
S000002701	YDR293C	S. cerevisiae	SSD1	Suppressor of SIT4 Deletion
S000002702	YDR294C	S. cerevisiae	DPL1	Dihydrosphingosine Phosphate Lyase
S000002703	YDR295C	S. cerevisiae	HDA2	Histone DeAcetylase
S000002704	YDR296W	S. cerevisiae	MHR1	Mitochondrial Homologous Recombination
S000002705	YDR297W	S. cerevisiae	SUR2	SUppressor of Rvs161 and rvs167 mutations
S000002706	YDR298C	S. cerevisiae	ATP5	ATP synthase
S000002707	YDR299W	S. cerevisiae	BFR2	BreFeldin A Resistance
S000002708	YDR300C	S. cerevisiae	PRO1	PROline requiring
S000002709	YDR301W	S. cerevisiae	CFT1	Cleavage Factor Two
S000002710	YDR302W	S. cerevisiae	GPI11	GlycosylPhosphatidylInositol anchor biosynthesis
S000002712	YDR304C	S. cerevisiae	CPR5	Cyclosporin-sensitive Proline Rotamase
S000002713	YDR305C	S. cerevisiae	HNT2	Histidine triad NucleoTide-binding
S000002714	YDR306C	S. cerevisiae	PFU1	Pheromone, F-box, Ubiquitination
S000002715	YDR307W	S. cerevisiae	PMT7	
S000002716	YDR308C	S. cerevisiae	SRB7	Suppressor of RNA polymerase B
S000002719	YDR311W	S. cerevisiae	TFB1	Transcription Factor B
S000002720	YDR312W	S. cerevisiae	SSF2	Suppressor of ste4 (Four)
S000002721	YDR313C	S. cerevisiae	PIB1	PtdIns(3)p-Binding
S000002722	YDR314C	S. cerevisiae	RAD34	Homologous to RAD4
S000002723	YDR315C	S. cerevisiae	IPK1	Inositol Polyphosphate Kinase
S000002724	YDR316W	S. cerevisiae	OMS1	OXA1 Multicopy Suppressor
S000002726	YDR318W	S. cerevisiae	MCM21	MiniChromosome Maintenance
S000002727	YDR319C	S. cerevisiae	YFT2	
S000002728	YDR320C	S. cerevisiae	SWA2	Synthetic lethal With Arf1
S000002730	YDR322W	S. cerevisiae	MRPL35	Mitochondrial Ribosomal Protein, Large subunit
S000002731	YDR323C	S. cerevisiae	PEP7	carboxyPEPtidase Y-deficient
S000002732	YDR324C	S. cerevisiae	UTP4	U Three Protein
S000002733	YDR325W	S. cerevisiae	YCG1	Yeast Cap G
S000002734	YDR326C	S. cerevisiae	YSP2	Yeast Suicide Protein
S000002736	YDR328C	S. cerevisiae	SKP1	Suppressor of Kinetochore Protein mutant
S000002737	YDR329C	S. cerevisiae	PEX3	PEroXin
S000002738	YDR330W	S. cerevisiae	UBX5	UBiquitin regulatory X
S000002739	YDR331W	S. cerevisiae	GPI8	GlycosylPhosphatidylInositol anchor biosynthesis
S000002740	YDR332W	S. cerevisiae	IRC3	Increased Recombination Centers
S000002741	YDR333C	S. cerevisiae	RQC1	Ribosome Quality Control
S000002742	YDR334W	S. cerevisiae	SWR1	SWi2/snf2-Related
S000002743	YDR335W	S. cerevisiae	MSN5	Multicopy suppressor of SNf1 mutation
S000002744	YDR336W	S. cerevisiae	MRX8	Mitochondrial oRganization of gene eXpression (MIOREX)
S000002745	YDR337W	S. cerevisiae	MRPS28	Mitochondrial Ribosomal Protein, Small subunit
S000002746	YDR338C	S. cerevisiae		
S000002747	YDR339C	S. cerevisiae	FCF1	Faf1p Copurifying Factor
S000002749	YDR341C	S. cerevisiae		
S000002750	YDR342C	S. cerevisiae	HXT7	HeXose Transporter
S000002751	YDR343C	S. cerevisiae	HXT6	HeXose Transporter
S000002753	YDR345C	S. cerevisiae	HXT3	HeXose Transporter
S000002754	YDR346C	S. cerevisiae	SVF1	SurVival Factor
S000002755	YDR347W	S. cerevisiae	MRP1	Mitochondrial Ribosomal Protein
S000002756	YDR348C	S. cerevisiae	PAL1	Pears And Lemons
S000002757	YDR349C	S. cerevisiae	YPS7	YaPSin
S000002760	YDR352W	S. cerevisiae	YPQ2	Yeast PQ-loop protein
S000002761	YDR353W	S. cerevisiae	TRR1	ThioRedoxin Reductase
S000002762	YDR354W	S. cerevisiae	TRP4	TRyPtophan
S000002764	YDR356W	S. cerevisiae	SPC110	Spindle Pole Component
S000002765	YDR357C	S. cerevisiae	CNL1	CNo-Like
S000002766	YDR358W	S. cerevisiae	GGA1	Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein
S000002767	YDR359C	S. cerevisiae	EAF1	Esa1p-Associated Factor
S000002769	YDR361C	S. cerevisiae	BCP1	
S000002770	YDR362C	S. cerevisiae	TFC6	Transcription Factor C
S000002772	YDR364C	S. cerevisiae	CDC40	Cell Division Cycle
S000002773	YDR365C	S. cerevisiae	ESF1	Eighteen S rRNA Factor
S000002775	YDR367W	S. cerevisiae	KEI1	Kex2-cleavable protein Essential for Inositol phosphorylceramide synthesis
S000002776	YDR368W	S. cerevisiae	YPR1	Yeast Putative Reductase
S000002778	YDR370C	S. cerevisiae	DXO1	Decapping eXOnuclease
S000002779	YDR371W	S. cerevisiae	CTS2	ChiTinaSe
S000002780	YDR372C	S. cerevisiae	VPS74	Vacuolar Protein Sorting
S000002781	YDR373W	S. cerevisiae	FRQ1	FReQuenin homolog
S000002783	YDR375C	S. cerevisiae	BCS1	ubiquinol-cytochrome c reductase (bc1) Synthesis
S000002784	YDR376W	S. cerevisiae	ARH1	Adrenodoxin Reductase Homolog
S000002785	YDR377W	S. cerevisiae	ATP17	ATP synthase
S000002786	YDR378C	S. cerevisiae	LSM6	Like SM
S000002787	YDR379W	S. cerevisiae	RGA2	Rho GTPase Activating Protein
S000002788	YDR380W	S. cerevisiae	ARO10	AROmatic amino acid requiring
S000002789	YDR381W	S. cerevisiae	YRA1	Yeast RNA Annealing protein
S000002790	YDR382W	S. cerevisiae	RPP2B	Ribosomal Protein P2 Beta
S000002792	YDR384C	S. cerevisiae	ATO3	Ammonia (Ammonium) Transport Outward
S000002793	YDR385W	S. cerevisiae	EFT2	Elongation Factor Two
S000002794	YDR386W	S. cerevisiae	MUS81	MMS and UV Sensitive
S000002795	YDR387C	S. cerevisiae	CIN10	Chromosome INstability
S000002796	YDR388W	S. cerevisiae	RVS167	Reduced Viability on Starvation
S000002797	YDR389W	S. cerevisiae	SAC7	Suppressor of ACtin
S000002798	YDR390C	S. cerevisiae	UBA2	UBiquitin Activating
S000002800	YDR392W	S. cerevisiae	SPT3	SuPpressor of Ty's
S000002801	YDR393W	S. cerevisiae	SHE9	Sensitivity to High Expression
S000002802	YDR394W	S. cerevisiae	RPT3	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase
S000002803	YDR395W	S. cerevisiae	SXM1	Suppressor of mRNA eXport Mutant
S000002805	YDR397C	S. cerevisiae	NCB2	Negative Cofactor B
S000002806	YDR398W	S. cerevisiae	UTP5	U Three Protein
S000002807	YDR399W	S. cerevisiae	HPT1	Hypoxanthine guanine PhosphoribosylTransferase
S000002808	YDR400W	S. cerevisiae	URH1	URidine Hydrolase
S000002810	YDR402C	S. cerevisiae	DIT2	DITyrosine
S000002812	YDR404C	S. cerevisiae	RPB7	RNA Polymerase B
S000002813	YDR405W	S. cerevisiae	MRP20	Mitochondrial Ribosomal Protein
S000002814	YDR406W	S. cerevisiae	PDR15	Pleiotropic Drug Resistance
S000002815	YDR407C	S. cerevisiae	TRS120	TRapp Subunit
S000002816	YDR408C	S. cerevisiae	ADE8	ADEnine requiring
S000002817	YDR409W	S. cerevisiae	SIZ1	SAP and mIZ-finger domain
S000002818	YDR410C	S. cerevisiae	STE14	STErile
S000002819	YDR411C	S. cerevisiae	DFM1	Der1-like Family Member
S000002820	YDR412W	S. cerevisiae	RRP17	Ribosomal RNA Processing
S000002822	YDR414C	S. cerevisiae	ERD1	Endoplasmic reticulum Retention Defective
S000002823	YDR415C	S. cerevisiae		
S000002824	YDR416W	S. cerevisiae	SYF1	SYnthetic lethal with cdcForty
S000002826	YDR418W	S. cerevisiae	RPL12B	Ribosomal Protein of the Large subunit
S000002827	YDR419W	S. cerevisiae	RAD30	RADiation sensitive
S000002829	YDR421W	S. cerevisiae	ARO80	AROmatic amino acid requiring
S000002832	YDR424C	S. cerevisiae	DYN2	DYNein
S000002833	YDR425W	S. cerevisiae	SNX41	Sorting NeXin
S000002835	YDR427W	S. cerevisiae	RPN9	Regulatory Particle Non-ATPase
S000002836	YDR428C	S. cerevisiae	BNA7	Biosynthesis of NAD
S000002837	YDR429C	S. cerevisiae	TIF35	Translation Initiation Factor
S000002838	YDR430C	S. cerevisiae	CYM1	CYtosolic Metalloprotease
S000002840	YDR432W	S. cerevisiae	NPL3	Nuclear Protein Localization
S000002842	YDR434W	S. cerevisiae	GPI17	GlycosylPhosphatidylInositol anchor biosynthesis
S000002843	YDR435C	S. cerevisiae	PPM1	Protein Phosphatase Methyltransferase
S000002844	YDR436W	S. cerevisiae	PPZ2	Protein Phosphatase Z
S000002845	YDR437W	S. cerevisiae	GPI19	Glycosyl PhosphatidylInositol anchor biosynthesis
S000002846	YDR438W	S. cerevisiae	THI74	THIamine regulon
S000002848	YDR440W	S. cerevisiae	DOT1	Disruptor Of Telomeric silencing
S000002849	YDR441C	S. cerevisiae	APT2	Adenine PhosphoribosylTransferase
S000002851	YDR443C	S. cerevisiae	SSN2	Suppressor of SNf1
S000002852	YDR444W	S. cerevisiae		
S000002855	YDR447C	S. cerevisiae	RPS17B	Ribosomal Protein of the Small subunit
S000002856	YDR448W	S. cerevisiae	ADA2	transcriptional ADAptor
S000002857	YDR449C	S. cerevisiae	UTP6	U Three Protein
S000002858	YDR450W	S. cerevisiae	RPS18A	Ribosomal Protein of the Small subunit
S000002860	YDR452W	S. cerevisiae	PPN1	
S000002861	YDR453C	S. cerevisiae	TSA2	Thiol-Specific Antioxidant
S000002862	YDR454C	S. cerevisiae	GUK1	GUanylate Kinase
S000002864	YDR456W	S. cerevisiae	NHX1	Na+/H+ eXchanger
